"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"ECDC_Flu","This is the official account of the European Centre for Disease Prevention and Control's Influenza and other Respiratory Viruses programme",1124,3247,378,154,"http://t.co/KF7zot2KyQ","ECDC Influenza",2013-04-22 09:02:28,FALSE,FALSE,"ECDC_Flu","Stockholm, Sweden","en","1371668696",91,FALSE,"http://pbs.twimg.com/profile_images/453897307226767360/v_WHnT1g_normal.jpeg"
"ScaranoVincenzo","Gazzetta della Val d'Agri - Tutte le news a portata di click -  Informarsi e conoscere la Val d'Agri",16091,868,11,809,"https://t.co/JgiyYpSvSE","Gazzetta Val d'Agri",2011-12-13 10:03:50,FALSE,FALSE,"ScaranoVincenzo","sarconi","it","435680664",12,FALSE,"http://pbs.twimg.com/profile_images/817118557456781316/MxMp4vSP_normal.jpg"
"lucreziarossi11","",9433,422,84547,310,NA,"Lucrezia Rossi",2013-05-28 08:43:43,FALSE,FALSE,"lucreziarossi11","","it","1464201175",4,FALSE,"http://pbs.twimg.com/profile_images/878568382551007233/fya5jSR2_normal.jpg"
"JanssenGlobal","We are Janssen. We collaborate with the world for the health of everyone in it. Check in here for news, updates, links and more.",2366,4037,1149,464,"http://t.co/i8bU2oJE9l","Janssen Global",2014-05-02 17:40:15,FALSE,FALSE,"JanssenGlobal","Raritan, New Jersey","en","2474345197",108,FALSE,"http://pbs.twimg.com/profile_images/611185538075394048/WGSngGpP_normal.jpg"
"1205fiorella","...√® tutto un equilibrio sopra la follia",22439,926,25597,1235,NA,"Fiorella",2016-04-24 18:25:44,FALSE,FALSE,"1205fiorella","","it","724303327077502976",14,FALSE,"http://pbs.twimg.com/profile_images/907899654796443649/LHxPxw-x_normal.jpg"
"ElLongino","Diario El Longino. M√°s cerca de usted cada d√≠a, con informaciones de Iquique y las comunas de la regi√≥n de Tarapac√°.",10009,6832,56,314,"http://t.co/8gBBsP4f1C","Diario El Longino",2013-03-11 17:34:41,FALSE,FALSE,"ElLongino","","es","1260004406",42,FALSE,"http://pbs.twimg.com/profile_images/470424386869030912/Rvf0dsDe_normal.jpeg"
"virus_baster","„Ç§„É≥„Éï„É´„Ç®„É≥„Ç∂„ÄÅ„Éé„É≠„Ç¶„Ç§„É´„Çπ„ÄÅRS„Ç¶„Ç§„É´„Çπ„ÄÅÊÑüÊüìÊÄßËÉÉËÖ∏ÁÇé„ÄÅ„Ç®„Éú„É©Âá∫Ë°ÄÁÜ±„ÄÅ„Éû„Ç§„Ç≥„Éó„É©„Ç∫„ÉûËÇ∫ÁÇé„ÄÅAÁæ§Ê∫∂Ë°ÄÊÄß„É¨„É≥„ÇµÁêÉËèåÂíΩÈ†≠ÁÇé„Å™„Å©ÊÑüÊüìÁóá„Å´Èñ¢„Åô„ÇãÊÉÖÂ†±https://t.co/UxHbvQLof6",43622,209,0,121,"http://t.co/dwVnqsSJ8X","„Ç§„É≥„Éï„É´„Ç®„É≥„Ç∂„Éã„É•„Éº„Çπ",2014-12-10 12:16:07,FALSE,FALSE,"virus_baster","","ja","2925614473",1,FALSE,"http://pbs.twimg.com/profile_images/543034983774814208/yULs3UlC_normal.jpeg"
"Icarus_DG","16| Pro Level Sm4sh Player| Best (Active)Pit Player in the PNW| Wi-Fi Warrior|Overconfident|Money Match Enthusiast |Sponsors???",818,47,2631,113,NA,"Sick Boys",2017-03-25 17:53:04,FALSE,FALSE,"Icarus_DG","Florida/Washington","en","845695037740593154",0,FALSE,"http://pbs.twimg.com/profile_images/953298697235808256/MjcdPgQ__normal.jpg"
"infoprogreso","Progreso tierra cacaotera de hombres y mujeres trabajadoras que luchan d√≠a a d√≠a por el bienestar de su familia. F. Jessenia Ram√≥n",3004,312,5,424,"https://t.co/oMEAACmn0k","Infocentro Progreso",2015-09-11 16:53:40,FALSE,FALSE,"infoprogreso","Pasaje, Ecuador","es","3622270037",6,FALSE,"http://pbs.twimg.com/profile_images/946760163201085440/KyKIHiJw_normal.jpg"
"INDIETUNZ","#IndieArtist, #IndieMusicAdvocate #IndieMusicIncubator for #IndieArtists #Indie #Mentor #LifeSkills #AllIndieMusicTv #IndieMusicNetwork #IndieMusicMatters",3023,3304,1385,4079,"https://t.co/ryF1oOuEHJ","INDIE TUNZ",2016-03-31 02:17:44,FALSE,FALSE,"INDIETUNZ","Worldwide","en","715362409746194433",44,FALSE,"http://pbs.twimg.com/profile_images/763530791842381824/V1Ip1TlC_normal.jpg"
"golfglenvet","Golf Glen Veterinary Clinic is a small animal hospital located in Aurora, Ontario.",109,158,4,53,"http://t.co/X1RdcDuCFu","Golf Glen Veterinary",2012-06-12 19:24:38,FALSE,FALSE,"golfglenvet","1 - 15570 Yonge St, Aurora, ON","en","606572659",0,FALSE,"http://pbs.twimg.com/profile_images/454659568811778049/LmDFhF72_normal.png"
"solaveIIan","level 19 oc wrangler and shitty sombra/widow main. | #voidwalkingdnd",34770,315,35349,159,"https://t.co/GC2vr8CHRN","riley",2016-08-30 20:03:06,FALSE,FALSE,"solaveIIan","they/them | ¬©Ô∏è noble-moon","en","770713473663766529",15,FALSE,"http://pbs.twimg.com/profile_images/969090877829378048/b4kUjx3c_normal.jpg"
"MplsMe","America was ALREADY great.
This is MY country. #TheResistance #Œ©. #BoF #MNCD03 #WRU #FBR #ResistanceUnited #Matriot. My motto: Die mad about it. Ì†æÌ¥£",27857,16797,72840,14004,NA,"KrisS",2012-01-17 23:49:39,FALSE,FALSE,"MplsMe","Minneapolis, MN","en","466953226",16,FALSE,"http://pbs.twimg.com/profile_images/950728382542729216/8vmyeuZv_normal.jpg"
"wildlifeDZeco","Wildlife Disease Ecologist, horse enthusiast, small farm owner, and dabbler in other financially irresponsible activites",306,74,114,113,"http://t.co/m5oNReOa6G","Krysten Schuler",2008-07-23 03:42:55,FALSE,FALSE,"wildlifeDZeco","Cornell University","en","15555039",0,FALSE,"http://pbs.twimg.com/profile_images/809473113662652417/h_LmXdJf_normal.jpg"
"ricardomn","Me gustan los churrascos, los asados y las cervezas lager. Conocido en el norte como #ElMarraqueta.",26887,796,12366,2180,NA,"Ricardo",2009-06-30 19:12:03,FALSE,FALSE,"ricardomn","Santiago, Chile","en","52487551",11,FALSE,"http://pbs.twimg.com/profile_images/942550376556965889/rH_hNfR3_normal.jpg"
"JoseyRebelle","club ‚Ä¢ radio ‚Ä¢ @rinsefm since 2011: sundays 10am-1pm gmt ‚Ä¢ bookings: kim@poly.am ‚Ä¢ n. america: gabe@liaisonartists.com ‚Ä¢ other: info@joseyrebelle.com",19358,5980,11384,1774,"https://t.co/MTdsX8Mtxg","josey rebelle",2010-02-11 18:05:46,FALSE,FALSE,"JoseyRebelle","Tottenham, London","en","113419324",63,FALSE,"http://pbs.twimg.com/profile_images/553309679078899714/1oItkV6s_normal.jpeg"
"SaludMagallanes","Cuenta Oficial del Servicio de Salud Magallanes.",3609,672,688,287,"https://t.co/Br3JanP2Qo","Salud Magallanes",2016-10-05 12:47:33,FALSE,FALSE,"SaludMagallanes","Punta Arenas, Chile","es","783649827930402816",4,FALSE,"http://pbs.twimg.com/profile_images/956133127856025601/ijrQwVM3_normal.jpg"
"joerg_erfurth","",17468,492,6,572,"https://t.co/SD3DaMSYEQ","J√∂rg Erfurth",2009-01-12 16:55:22,FALSE,FALSE,"joerg_erfurth","Berlin","de","18906395",18,FALSE,"http://pbs.twimg.com/profile_images/3604627951/4ffc5d4008b860f78d7c0645d95a6e1c_normal.jpeg"
"archiveshub","The Archives Hub provides access to descriptions of unique and unpublished primary source material for education and research.",3237,17614,314,9815,"https://t.co/trhM7tuasw","Archives Hub",2009-02-27 15:24:35,FALSE,FALSE,"archiveshub","Manchester, UK","en","22149949",728,FALSE,"http://pbs.twimg.com/profile_images/895251128375554048/R3GXaKUH_normal.jpg"
"AVMAvets","Find out what's going on with the AVMA (American Veterinary Medical Association) and keep up with the latest developments in veterinary medicine.",38644,42530,162,345,"http://t.co/evChL5V8Zn","AVMAvets",2009-11-16 18:31:15,FALSE,FALSE,"AVMAvets","Schaumburg, IL","en","90452704",769,FALSE,"http://pbs.twimg.com/profile_images/620002737275695104/YtCX9h4i_normal.jpg"
"AlejandroSig","La belleza es un acuerdo entre el contenido y la forma. Soy directo y digo las cosas por su nombre.",91905,2113,72331,2221,"http://t.co/U42mE7yLcB","Alejandro",2011-10-21 03:33:51,FALSE,FALSE,"AlejandroSig","Regi√≥n de Valparaiso","es","395091343",45,FALSE,"http://pbs.twimg.com/profile_images/2081424279/men_normal.jpg"
"RadioMagallanes","",18533,3785,0,121,NA,"Radio Magallanes",2009-05-30 14:49:20,FALSE,FALSE,"RadioMagallanes","Punta Arenas, Patagonia, Chile","es","43537552",37,FALSE,"http://pbs.twimg.com/profile_images/997456767/logo_normal.jpg"
"DrPontecarlosi","Venezolano.M√©dico Internista / Cardi√≥logo J. Directiva SVC y FVCP DIRECTOR Comit√© EPIDEM Y PREV CV SIAC dem√≥crata y progresista Padre de 4 hijos fabulosos",10861,1630,167,2214,NA,"Carlos I Ponte N",2010-07-31 15:48:09,FALSE,FALSE,"DrPontecarlosi","Progresista y Dem√≥crata.  ","es","173153093",13,FALSE,"http://pbs.twimg.com/profile_images/938013753932767233/rU1VLrJj_normal.jpg"
"MagaParrales","",2659,91,34,70,NA,"Maga Parrales",2013-04-12 03:30:12,FALSE,FALSE,"MagaParrales","Milagro, Ecuador","es","1345865574",0,FALSE,"http://pbs.twimg.com/profile_images/3539268867/8f1a52a21e49824677900bcffc6cb410_normal.jpeg"
"Karla_DiarioEP","Multimedia Journalist at El Diario de El Paso",3904,124,30,70,"https://t.co/KpaX1qC4pV","Karla Valdez",2015-03-20 01:16:18,FALSE,FALSE,"Karla_DiarioEP","El Paso, TX","en","3098483508",3,FALSE,"http://pbs.twimg.com/profile_images/780087692642037760/il-CrZPD_normal.jpg"
"compendiogenial","LAS PALABRAS ponen y quitan gobiernos, hacen de 2 personas 1 familia, convierten sue√±os en realidades y mil cosas mas. Compartamos un buen COMPENDIO de ellas.",156581,49389,81,33456,NA,"Compendio Genial „ÉÑ",2011-01-09 05:43:12,FALSE,FALSE,"compendiogenial","","es","235840073",233,FALSE,"http://pbs.twimg.com/profile_images/496407370826665985/kXrHKuNa_normal.jpeg"
"GiuGiupa82","",7923,85,725,234,NA,"Stringer B.",2012-11-24 21:54:52,FALSE,FALSE,"GiuGiupa82","Naples, Campania","it","968871944",6,FALSE,"http://pbs.twimg.com/profile_images/794131656139534336/b-xSuAdD_normal.jpg"
"minnablog","ÊöÆ„Çâ„Åó„Çí„É©„É≥„ÇØ„Ç¢„ÉÉ„Éó„Åó„Å¶„Åè„Çå„ÇãÊÉÖÂ†±„ÇíË™∞„Åß„ÇÇÁ∞°Âçò„Å´Áô∫Ë¶ã„Åß„Åç„Çã„Çµ„Ç§„Éà",126033,4973,14,4697,"https://t.co/NbbhYgKRTI","„Åø„Çì„Å™„ÅÆ„Éñ„É≠„Ç∞",2015-05-08 11:41:00,FALSE,FALSE,"minnablog","Êù±‰∫¨","ja","3188709361",59,FALSE,"http://pbs.twimg.com/profile_images/596680710502526976/wiB6og2P_normal.png"
"arctiktae","this user likes coffee, cats and kim taehyung a lot",41706,1226,12187,297,"https://t.co/aUCrRd4geG","h",2012-02-26 15:06:01,FALSE,FALSE,"arctiktae","","it","504615297",9,FALSE,"http://pbs.twimg.com/profile_images/971779996527284224/BKuclSOB_normal.jpg"
"HealthyBuilds","Design for a healthier environment is a construction management company that understands infection control.  Healthier building is what we do.",8037,134,1,124,"https://t.co/kz1xe03jWK","IDA Construction",2016-12-22 19:00:54,FALSE,FALSE,"HealthyBuilds","Jupiter, FL","en","812010037036142593",2,FALSE,"http://pbs.twimg.com/profile_images/812014181968990208/KFE3E-d2_normal.jpg"
"SandersFilters","",10136,203,49,387,"https://t.co/f396GILyQt","Sanders Filters Inc.",2015-07-09 10:51:39,FALSE,FALSE,"SandersFilters","","en","3367445063",9,FALSE,"http://pbs.twimg.com/profile_images/619097022063345664/KlrRoBUH_normal.png"
"NanoSafe1","",9672,208,28,195,"http://t.co/m8cLu1RVFH","Nano Safe Coatings",2015-07-03 19:23:48,FALSE,FALSE,"NanoSafe1","Jupiter, FL","en","3357366772",5,FALSE,"http://pbs.twimg.com/profile_images/836322436803145728/8mvOhmTY_normal.jpg"
"linea_directa","‚ÄúLa verdad se dice completa‚Äù y ahora puede leerla, verla y escucharla en el noticiero de Sinaloa.",298125,19077,136,176,"https://t.co/Z4HXogPHPj","L√≠nea Directa",2009-10-16 17:54:39,FALSE,FALSE,"linea_directa","Sinaloa, M√©xico","es","82934471",225,FALSE,"http://pbs.twimg.com/profile_images/951514900974649344/yBrdY6rb_normal.jpg"
"WisconsinAFP","The Wisconsin Academy of Family Physicians represents 2,900 family physicians, family medicine residents, and medical students.",1405,1507,23,66,"http://t.co/u6Seir6UTV","Wisconsin AFP",2009-05-13 20:31:36,FALSE,FALSE,"WisconsinAFP","Thiensville, WI","en","39827011",46,FALSE,"http://pbs.twimg.com/profile_images/1206668530/WIforTwitter_normal.jpg"
"SSaludArauco","Cuenta Oficial del Servicio de Salud Arauco. #TodosxChile #ChileMejor",2530,2410,589,944,"https://t.co/tnyAXJgdoa","ServicioSalud Arauco",2012-01-23 17:49:44,FALSE,FALSE,"SSaludArauco","Lebu, Provincia de Arauco","es","472180976",11,FALSE,"http://pbs.twimg.com/profile_images/722147791330525184/8k79oA1T_normal.jpg"
"bevafi","pet lover Ì†ΩÌ∞æ | my boyfriend ‚ô•Ô∏è | nursing student",59998,1752,7029,230,NA,"b…ôvaf√Ø‚òæ",2012-01-06 17:08:24,FALSE,FALSE,"bevafi","PR","en","456780227",2,FALSE,"http://pbs.twimg.com/profile_images/964675464227942400/pofbd8wB_normal.jpg"
"VesselMedical","",1721,2066,17322,277,"http://t.co/HkTErR6MB7","Vessel Medical",2010-04-07 16:37:20,FALSE,FALSE,"VesselMedical","Greenville, SC","en","130551892",21,FALSE,"http://pbs.twimg.com/profile_images/821379743220019200/6yCEnP16_normal.jpg"
"prensa_ec","Las Noticias del Ecuador y del Mundo. De las Fuentes de Datos de los Principales Medios de Informacion - alimentado por tus #FF y #RT",460229,2310,9,670,NA,"Prensa Libre",2014-03-15 14:52:38,FALSE,FALSE,"prensa_ec","Ecuador","es","2391148628",91,FALSE,"http://pbs.twimg.com/profile_images/450843373411110912/F8Z-Pi3G_normal.jpeg"
"SALUDORIENTE","Cuenta oficial en Twitter del Servicio de Salud Metropolitano Oriente.",8832,905,44,664,"http://t.co/SP6FJoYc","SSMO",2013-02-04 11:59:17,FALSE,FALSE,"SALUDORIENTE","Canad√° 308, Providencia Chile","es","1147793142",7,FALSE,"http://pbs.twimg.com/profile_images/911237993662500864/Tv-H-Z6Z_normal.jpg"
"DonnaYoungDC","All things Washington for pharma/biotech, health care & science news - 'The pharma diviner' - Senior Reporter, S&P Global News",67614,6744,7978,1870,"https://t.co/Dh0BddmFod","Donna Young",2012-05-29 15:45:45,FALSE,FALSE,"DonnaYoungDC","Washington","en","593813785",468,FALSE,"http://pbs.twimg.com/profile_images/474939099648778240/Ug76s07w_normal.jpeg"
"FatChanceHotel9","I'm a Japanese. Editor / writer of Cookie Scene. Tweet in English. „Å®„Åç„Å©„ÅçÊó•Êú¨Ë™û„ÄÇI love Music / Movies / Books expand my world. Don't Panic!",612,141,504,464,"https://t.co/W9GHPZIvOG","Cappuccino Kid",2017-05-05 00:36:29,FALSE,FALSE,"FatChanceHotel9","Nowhere Fast","ja","860292076365242369",0,FALSE,"http://pbs.twimg.com/profile_images/868461544807383040/EyTcUiUo_normal.jpg"
"VMLEIVA","NORTINO, FAN√ÅTICO DEL GRUNGE  Y DE PEARL JAM, SOY  BACHELETISTA,DC   CHASCON ,VIUDO DE BIELSA Y  DE COLO COLO",93916,2470,43853,3449,NA,"VICTOR",2009-07-18 05:50:46,FALSE,FALSE,"VMLEIVA","antofagasta chile","es","57867652",31,FALSE,"http://pbs.twimg.com/profile_images/927655919411855360/AxoplzsP_normal.jpg"
"AnimalsWorld2","Tweeting about top fantasy Animals stories",28431,1175,0,1031,NA,"Animals World",2012-11-15 18:55:15,FALSE,FALSE,"AnimalsWorld2","Newcastle","en","950288581",20,FALSE,"http://pbs.twimg.com/profile_images/3261152126/86157fe67669a27f41239cf09fb592e5_normal.jpeg"
"MineForSale","Mining News, Jobs, Equipment, Services, Supplies and Mines For Sale, Lease, Joint Venture - Gold, Silver, Diamond, Coal, Mining Claims",56789,7817,4,5447,"http://t.co/GmgMLxIlSA","MineListings.com",2012-03-15 18:31:39,FALSE,FALSE,"MineForSale","Worldwide","en","525623117",47,FALSE,"http://pbs.twimg.com/profile_images/1980714477/Mines_For_Sale2_normal.jpg"
"NukemanEnergy","Nuclear energy marks the future of the country! Get on board now!",52040,2459,0,1911,NA,"Nuclear Energy",2017-07-11 13:42:43,FALSE,FALSE,"NukemanEnergy","Plantation, FL","en","884769927261040640",10,FALSE,"http://pbs.twimg.com/profile_images/885182671693000704/yn6TUsGp_normal.jpg"
"mala_influenza","Hartista‚Ä¶En persona soy menos fea‚Ä¶Momentos de felicidad inducidos por el alcohol @ShoesnCristals",9341,754,11304,1124,"http://t.co/GdKOtx94ew","La mala influenza",2012-04-15 20:11:44,FALSE,FALSE,"mala_influenza","Monterrey, N.L., Mexico","es","554611189",9,FALSE,"http://pbs.twimg.com/profile_images/667164536814768129/J-Y3HSTI_normal.jpg"
"mega_shopaholic","#UofSC19 #gemini I'm so glad I'm a part of the upper echelon. A twitter girl. Follow me on ig: mega_shopaholic17 cashapp:$MeganfaithR snapchat:megannnnfaith17",62112,9835,12548,235,NA,"meganfaith",2011-07-25 23:50:33,FALSE,FALSE,"mega_shopaholic","","en","342409717",7,FALSE,"http://pbs.twimg.com/profile_images/971488583658954754/hEqnFiwu_normal.jpg"
"naramilee","I've been known to dance for uncertain reasons.   Justin Bieber said twitter was awesome. Host of: https://t.co/RfWVFSv85k",8183,251,1674,235,"https://t.co/OaQqz7tM2x","Lee",2011-12-02 15:56:29,FALSE,FALSE,"naramilee","Puerto Rico","en","426709811",80,FALSE,"http://pbs.twimg.com/profile_images/630915569529716738/ioYY03ht_normal.jpg"
